   GoodVibes v3.0.1 2022/04/26 11:41:57
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).
        GoodVibes: GoodVibes 3.0.1 http://doi.org/10.5281/zenodo.595246
   Requested: --qs truhlar --qh --ti 250,500,50 --dat -c 1.0 --cpu 

   Concentration = 1.0 mol/l
   All energetic values below shown in Hartree unless otherwise specified.
   Using vibrational scale factor 1.0 for M062X/6-31G(d,p) level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Truhlar: Using an RRHO treatment where low frequencies are adjusted to the cut-off value.
   REF: Ribeiro, R. F.; Marenich, A. V.; Cramer, C. J.; Truhlar, D. G. J. Phys. Chem. B 2011, 115, 14556-14562


   Enthalpy quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QH = Head-Gordon: Using an RRHO treatement with an approximation term for vibrational energy.
   REF: Li, Y.; Gomes, J.; Sharada, S. M.; Bell, A. T.; Head-Gordon, M. J. Phys. Chem. C 2015, 119, 1840-1850


   Variable-Temperature analysis of the enthalpy, entropy and the entropy at a constant pressure between
   T init:  250.0,  T final:  500.0,  T interval: 50.0

   Structure                                      Temp/K                        H          qh-H        T.S     T.qh-S          G(T)       qh-G(T)
   **********************************************************************************************************************************************
o  TMP_one_ACR_acetonitrile                        250.0             -1235.414630  -1235.419339   0.068618   0.061989  -1235.483248  -1235.481328
o  TMP_one_ACR_acetonitrile                        300.0             -1235.406895  -1235.412480   0.090785   0.082803  -1235.497680  -1235.495284
o  TMP_one_ACR_acetonitrile                        350.0             -1235.398101  -1235.404571   0.115391   0.106059  -1235.513492  -1235.510630
o  TMP_one_ACR_acetonitrile                        400.0             -1235.388290  -1235.395649   0.142345   0.131665  -1235.530634  -1235.527313
o  TMP_one_ACR_acetonitrile                        450.0             -1235.377521  -1235.385773   0.171543   0.159517  -1235.549064  -1235.545290
o  TMP_one_ACR_acetonitrile                        500.0             -1235.365868  -1235.375015   0.202874   0.189503  -1235.568742  -1235.564517
   **********************************************************************************************************************************************

   **********************************************************************************************************************************************
o  TMP_one_ACR_dichloromethane                     250.0             -1235.415750  -1235.419769   0.065232   0.061003  -1235.480982  -1235.480772
o  TMP_one_ACR_dichloromethane                     300.0             -1235.408020  -1235.412775   0.086716   0.081621  -1235.494737  -1235.494396
o  TMP_one_ACR_dichloromethane                     350.0             -1235.399224  -1235.404723   0.110646   0.104688  -1235.509870  -1235.509411
o  TMP_one_ACR_dichloromethane                     400.0             -1235.389407  -1235.395654   0.136928   0.130109  -1235.526335  -1235.525763
o  TMP_one_ACR_dichloromethane                     450.0             -1235.378631  -1235.385630   0.165458   0.157778  -1235.544088  -1235.543408
o  TMP_one_ACR_dichloromethane                     500.0             -1235.366970  -1235.374724   0.196120   0.187581  -1235.563090  -1235.562305
   **********************************************************************************************************************************************

   **********************************************************************************************************************************************
o  TMP_one_ACR_dimethylsulfoxide                   250.0             -1235.418932  -1235.422732   0.064218   0.060378  -1235.483150  -1235.483110
o  TMP_one_ACR_dimethylsulfoxide                   300.0             -1235.411235  -1235.415728   0.085464   0.080837  -1235.496699  -1235.496565
o  TMP_one_ACR_dimethylsulfoxide                   350.0             -1235.402468  -1235.407662   0.109154   0.103742  -1235.511622  -1235.511404
o  TMP_one_ACR_dimethylsulfoxide                   400.0             -1235.392676  -1235.398576   0.135195   0.129001  -1235.527871  -1235.527577
o  TMP_one_ACR_dimethylsulfoxide                   450.0             -1235.381923  -1235.388532   0.163484   0.156508  -1235.545407  -1235.545040
o  TMP_one_ACR_dimethylsulfoxide                   500.0             -1235.370282  -1235.377603   0.193906   0.186149  -1235.564188  -1235.563752
   **********************************************************************************************************************************************

   **********************************************************************************************************************************************
o  TMP_one_ACR_tetrahydrofuran                     250.0             -1235.415039  -1235.419043   0.065177   0.060969  -1235.480215  -1235.480012
o  TMP_one_ACR_tetrahydrofuran                     300.0             -1235.407313  -1235.412049   0.086646   0.081577  -1235.493959  -1235.493626
o  TMP_one_ACR_tetrahydrofuran                     350.0             -1235.398520  -1235.403997   0.110560   0.104633  -1235.509080  -1235.508630
o  TMP_one_ACR_tetrahydrofuran                     400.0             -1235.388705  -1235.394928   0.136827   0.130043  -1235.525532  -1235.524971
o  TMP_one_ACR_tetrahydrofuran                     450.0             -1235.377931  -1235.384903   0.165342   0.157702  -1235.543273  -1235.542605
o  TMP_one_ACR_tetrahydrofuran                     500.0             -1235.366272  -1235.373996   0.195989   0.187494  -1235.562262  -1235.561491
   **********************************************************************************************************************************************

   **********************************************************************************************************************************************
o  TMP_one_IA_acetonitrile                         250.0             -1483.070493  -1483.074991   0.069391   0.065459  -1483.139884  -1483.140450
o  TMP_one_IA_acetonitrile                         300.0             -1483.061941  -1483.067258   0.092604   0.087865  -1483.154545  -1483.155123
o  TMP_one_IA_acetonitrile                         350.0             -1483.052192  -1483.058337   0.118542   0.112999  -1483.170733  -1483.171336
o  TMP_one_IA_acetonitrile                         400.0             -1483.041292  -1483.048272   0.147106   0.140761  -1483.188398  -1483.189033
o  TMP_one_IA_acetonitrile                         450.0             -1483.029315  -1483.037134   0.178180   0.171033  -1483.207495  -1483.208168
o  TMP_one_IA_acetonitrile                         500.0             -1483.016345  -1483.025005   0.211635   0.203688  -1483.227979  -1483.228693
   **********************************************************************************************************************************************

   **********************************************************************************************************************************************
o  TMP_one_IA_dichloromethane                      250.0             -1483.067429  -1483.071934   0.069438   0.065438  -1483.136868  -1483.137372
o  TMP_one_IA_dichloromethane                      300.0             -1483.058885  -1483.064209   0.092653   0.087833  -1483.151538  -1483.152042
o  TMP_one_IA_dichloromethane                      350.0             -1483.049143  -1483.055297   0.118591   0.112953  -1483.167734  -1483.168250
o  TMP_one_IA_dichloromethane                      400.0             -1483.038251  -1483.045243   0.147154   0.140699  -1483.185405  -1483.185942
o  TMP_one_IA_dichloromethane                      450.0             -1483.026282  -1483.034114   0.178225   0.170955  -1483.204507  -1483.205069
o  TMP_one_IA_dichloromethane                      500.0             -1483.013320  -1483.021995   0.211677   0.203593  -1483.224996  -1483.225587
